t (s),Actual,Predicted_RF,Predicted_DT,Absolute Error RF,Absolute Error DT,Squared Error RF,Squared Error DT,SST,,,52.84811719
8912,52.795263,52.78607177,52.7851384,0.009191235,0.0101246,8.44788E-05,0.000102508,0.002793565,,,
8913,52.795263,52.78700853,52.78605882,0.008254465,0.009204182,6.81362E-05,8.4717E-05,0.002793565,,,
8914,52.804421,52.78942353,52.78682583,0.014997465,0.017595167,0.000224924,0.00030959,0.001909357,,,
8915,52.804421,52.79262126,52.79683786,0.011799744,0.007583143,0.000139234,5.75041E-05,0.001909357,,,
8916,52.812896,52.79467325,52.79778575,0.018222751,0.01511025,0.000332069,0.00022832,0.001240532,,,
8917,52.812896,52.79751325,52.79946467,0.015382752,0.013431333,0.000236629,0.000180401,0.001240532,,,
8918,52.823383,52.80065576,52.8008078,0.022727242,0.0225752,0.000516528,0.00050964,0.00061178,,,
8919,52.823383,52.80445351,52.80286009,0.018929491,0.020522909,0.000358326,0.00042119,0.00061178,,,
8920,52.810901,52.80598238,52.79778575,0.004918618,0.01311525,2.41928E-05,0.00017201,0.001385045,,,
8921,52.810901,52.80737063,52.8166918,0.003530368,0.0057908,1.24635E-05,3.35334E-05,0.001385045,,,
8922,52.830361,52.8088151,52.81572667,0.021545899,0.014634333,0.000464226,0.000214164,0.000315282,,,
8923,52.830361,52.81230178,52.81781729,0.018059224,0.012543714,0.000326136,0.000157345,0.000315282,,,
8924,52.834813,52.81635622,52.81938525,0.018456783,0.01542775,0.000340653,0.000238015,0.000177001,,,
8925,52.834813,52.82056757,52.8284602,0.014245431,0.0063528,0.000202932,4.03581E-05,0.000177001,,,
8926,52.830533,52.82311305,52.829519,0.007419953,0.001014,5.50557E-05,1.0282E-06,0.000309204,,,
8927,52.830533,52.82438914,52.82966386,0.006143861,0.000869143,3.7747E-05,7.55409E-07,0.000309204,,,
8928,52.850314,52.82689204,52.8297725,0.023421957,0.0205415,0.000548588,0.000421953,4.82597E-06,,,
8929,52.850314,52.82987444,52.83205489,0.020439561,0.018259111,0.000417776,0.000333395,4.82597E-06,,,
8930,52.854405,52.83239914,52.8338808,0.022005863,0.0205242,0.000484258,0.000421243,3.95366E-05,,,
8931,52.854405,52.83597147,52.83574664,0.018433525,0.018658364,0.000339795,0.000348135,3.95366E-05,,,
8932,52.860674,52.83830245,52.8400852,0.022371554,0.0205888,0.000500486,0.000423899,0.000157673,,,
8933,52.860674,52.84453185,52.8540224,0.016142152,0.0066516,0.000260569,4.42438E-05,0.000157673,,,
8934,52.863274,52.84790963,52.855131,0.015364373,0.008143,0.000236064,6.63084E-05,0.000229729,,,
8935,52.863274,52.85185396,52.85629429,0.011420035,0.006979714,0.000130417,4.87164E-05,0.000229729,,,
8936,52.865486,52.85570442,52.85716675,0.00978158,0.00831925,9.56793E-05,6.92099E-05,0.000301676,,,
8937,52.865486,52.85612776,52.85809111,0.009358238,0.007394889,8.75766E-05,5.46844E-05,0.000301676,,,
8938,52.855644,52.84285808,52.8297725,0.012785924,0.0258715,0.00016348,0.000669335,5.66529E-05,,,
8939,52.855644,52.84739385,52.85854091,0.008250148,0.002896909,6.80649E-05,8.39208E-06,5.66529E-05,,,
8940,52.886656,52.85735549,52.8582995,0.029300513,0.0283565,0.00085852,0.000804091,0.00148524,,,
8941,52.886656,52.86134967,52.86048077,0.025306329,0.026175231,0.00064041,0.000685143,0.00148524,,,
8942,52.883059,52.86467219,52.86235043,0.018386805,0.020708571,0.000338075,0.000428845,0.00122093,,,
8943,52.883059,52.8677696,52.885457,0.015289395,0.002398,0.000233766,5.7504E-06,0.00122093,,,
8944,52.877427,52.87208777,52.8848575,0.00533923,0.0074305,2.85074E-05,5.52123E-05,0.000859065,,,
8945,52.877427,52.87371888,52.8833714,0.003708122,0.0059444,1.37502E-05,3.53359E-05,0.000859065,,,
8946,52.88233,52.8745968,52.88238067,0.007733204,5.06667E-05,5.98024E-05,2.56711E-09,0.001170516,,,
8947,52.88233,52.87635681,52.88237343,0.005973193,4.34286E-05,3.5679E-05,1.88604E-09,0.001170516,,,
8948,52.885868,52.87714425,52.882368,0.008723752,0.0035,7.61038E-05,1.225E-05,0.001425124,,,
8949,52.885868,52.87863689,52.88275689,0.00723111,0.003111111,5.2289E-05,9.67901E-06,0.001425124,,,
8950,52.889708,52.8806665,52.883068,0.009041499,0.00664,8.17487E-05,4.40896E-05,0.001729795,,,
8951,52.889708,52.88154524,52.88367164,0.008162756,0.006036364,6.66306E-05,3.64377E-05,0.001729795,,,
8952,52.898027,52.88158743,52.88417467,0.016439573,0.013852333,0.00027026,0.000191887,0.002490989,,,
8953,52.898027,52.88407624,52.88524023,0.013950764,0.012786769,0.000194624,0.000163501,0.002490989,,,
8954,52.888138,52.88339845,52.88615357,0.004739549,0.001984429,2.24633E-05,3.93796E-06,0.001601665,,,
8955,52.888138,52.88451324,52.88628587,0.003624765,0.001852133,1.31389E-05,3.4304E-06,0.001601665,,,
8956,52.904605,52.8873002,52.88640163,0.017304796,0.018203375,0.000299456,0.000331363,0.003190873,,,
8957,52.904605,52.89286672,52.88747241,0.011738276,0.017132588,0.000137787,0.000293526,0.003190873,,,
8958,52.922209,52.89565406,52.901316,0.026554944,0.020893,0.000705165,0.000436517,0.005489596,,,
8959,52.922209,52.90358995,52.9054946,0.01861905,0.0167144,0.000346669,0.000279371,0.005489596,,,
8960,52.916762,52.90290999,52.88640163,0.013852011,0.030360375,0.000191878,0.000921752,0.00471211,,,
8961,52.916762,52.90869512,52.914078,0.008066878,0.002684,6.50745E-05,7.20386E-06,0.00471211,,,
8962,52.922758,52.91101587,52.91452533,0.011742128,0.008232667,0.000137878,6.77768E-05,0.005571251,,,
8963,52.922758,52.91290607,52.91570143,0.009851926,0.007056571,9.70604E-05,4.97952E-05,0.005571251,,,
8964,52.904529,52.91339796,52.92057633,0.008868958,0.016047333,7.86584E-05,0.000257517,0.003182292,,,
8965,52.904529,52.91285172,52.91828386,0.008322715,0.013754857,6.92676E-05,0.000189196,0.003182292,,,
8966,52.91913,52.91278528,52.9224835,0.006344716,0.0033535,4.02554E-05,1.1246E-05,0.005042819,,,
8967,52.91913,52.91410673,52.9218128,0.00502327,0.0026828,2.52332E-05,7.19742E-06,0.005042819,,,
8968,52.924686,52.91494386,52.92136567,0.009742144,0.003320333,9.49094E-05,1.10246E-05,0.005862783,,,
8969,52.924686,52.91617881,52.92184,0.008507185,0.002846,7.23722E-05,8.09972E-06,0.005862783,,,
8970,52.938399,52.91795463,52.92219575,0.020444375,0.01620325,0.000417972,0.000262545,0.008150805,,,
8971,52.938399,52.92152726,52.92399611,0.016871744,0.014402889,0.000284656,0.000207443,0.008150805,,,
8972,52.931249,52.92368478,52.9254364,0.007564225,0.0058126,5.72175E-05,3.37863E-05,0.006910898,,,
8973,52.931249,52.92594356,52.92596482,0.005305436,0.005284182,2.81477E-05,2.79226E-05,0.006910898,,,
8974,52.939768,52.92617065,52.92640517,0.013597346,0.013362833,0.000184888,0.000178565,0.008399871,,,
8975,52.939768,52.92970497,52.92743308,0.010063034,0.012334923,0.000101265,0.00015215,0.008399871,,,
8976,52.933309,52.92865194,52.92831414,0.004657061,0.004994857,2.16882E-05,2.49486E-05,0.007257644,,,
8977,52.933309,52.92979734,52.92864713,0.003511662,0.004661867,1.23318E-05,2.1733E-05,0.007257644,,,
8978,52.942901,52.93153982,52.9289385,0.011361183,0.0139625,0.000129076,0.000194951,0.008983971,,,
8979,52.942901,52.93318049,52.93648344,0.009720507,0.006417556,9.44883E-05,4.1185E-05,0.008983971,,,
8980,52.950704,52.93407572,52.9371252,0.016628278,0.0135788,0.0002765,0.000184384,0.010524054,,,
8981,52.950704,52.93684284,52.93835964,0.013861164,0.012344364,0.000192132,0.000152383,0.010524054,,,
8982,52.943683,52.93959515,52.93938833,0.004087848,0.004294667,1.67105E-05,1.84442E-05,0.009132824,,,
8983,52.943683,52.94022286,52.93971869,0.003460142,0.003964308,1.19726E-05,1.57157E-05,0.009132824,,,
8984,52.955895,52.9406593,52.94000186,0.015235702,0.015893143,0.000232127,0.000252592,0.011616056,,,
8985,52.955895,52.94282562,52.9410614,0.013069376,0.0148336,0.000170809,0.000220036,0.011616056,,,
8986,52.952396,52.94452794,52.9419885,0.007868057,0.0104075,6.19063E-05,0.000108316,0.01087407,,,
8987,52.952396,52.94600461,52.94686909,0.006391388,0.005526909,4.08498E-05,3.05467E-05,0.01087407,,,
8988,52.955345,52.94658667,52.94732967,0.008758335,0.008015333,7.67084E-05,6.42456E-05,0.011497803,,,
8989,52.955345,52.948045,52.94968209,0.007300003,0.005662909,5.329E-05,3.20685E-05,0.011497803,,,
8990,52.94747,52.9490512,52.950154,0.001581196,0.002684,2.50018E-06,7.20386E-06,0.009870981,,,
8991,52.94747,52.94894108,52.94994754,0.001471077,0.002477538,2.16407E-06,6.1382E-06,0.009870981,,,
8992,52.952887,52.94898034,52.94977057,0.003906656,0.003116429,1.5262E-05,9.71213E-06,0.010976713,,,
8993,52.952887,52.94954171,52.94997833,0.003345288,0.002908667,1.11909E-05,8.46034E-06,0.010976713,,,
8994,52.958402,52.95023157,52.95016013,0.008170431,0.008241875,6.67559E-05,6.79285E-05,0.012162739,,,
8995,52.958402,52.95112033,52.95064494,0.007281667,0.007757059,5.30227E-05,6.0172E-05,0.012162739,,,
8996,52.95688,52.95173634,52.95107589,0.005143663,0.005804111,2.64573E-05,3.36877E-05,0.011829349,,,
8997,52.95688,52.95217163,52.95138137,0.004708366,0.005498632,2.21687E-05,3.02349E-05,0.011829349,,,
8998,52.961284,52.95284986,52.9516563,0.008434136,0.0096277,7.11347E-05,9.26926E-05,0.012806727,,,
8999,52.961284,52.95358884,52.95211476,0.007695158,0.009169238,5.92155E-05,8.40749E-05,0.012806727,,,
9000,52.963769,52.95424228,52.9534946,0.009526725,0.0102744,9.07585E-05,0.000105563,0.013375341,,,
9001,52.963769,52.95511734,52.95398386,0.008651656,0.009785143,7.48512E-05,9.5749E-05,0.013375341,,,
9002,52.964705,52.956458,52.95442864,0.008246996,0.010276364,6.80129E-05,0.000105604,0.013592717,,,
9003,52.964705,52.95782321,52.95487543,0.006881792,0.009829565,4.73591E-05,9.66204E-05,0.013592717,,,
9004,52.97101,52.95883998,52.9569033,0.012170019,0.0141067,0.000148109,0.000198999,0.015102643,,,
